instant,dteday,season,yr,mnth,weekday,workingday,weathersit,temp,hum,windspeed,leaflets,price reduction,casual,registered,cnt
8,2011-01-08,1.0,0,1,6,0.0,2.0,6.6,80.37495,0.266804,990.0,0.0,68.0,891.0,959.0
354,2011-12-20,4.0,0,12,2,1.0,2.0,15.4333,89.31255,0.0615708,867.0,1.0,216.0,3534.0,3750.0
304,2011-10-31,4.0,0,10,1,1.0,1.0,13.6,105.49995,0.10635,720.0,0.0,362.0,3307.0,3669.0
597,2012-08-19,3.0,1,8,0,0.0,2.0,25.4333,109.3109709375,0.08645,540.0,0.0,1208.0,3341.0,4549.0
464,2012-04-08,2.0,1,4,0,0.0,1.0,20.0,41.37495,0.232596,557.0,1.0,2230.0,2939.0,5169.0
119,2011-04-29,2.0,0,4,5,1.0,1.0,20.4,68.56245,0.240063,911.0,1.0,878.0,3717.0,4595.0
132,2011-05-12,2.0,0,5,4,1.0,1.0,21.4,84.1551970890411,0.189667,983.0,0.0,695.0,4169.0,4864.0
562,2012-07-15,3.0,1,7,0,0.0,1.0,29.8333,107.68755,0.166667,690.0,1.0,11920.0,4111.0,16031.0
441,2012-03-16,1.0,1,3,5,1.0,2.0,17.4333,126.31245,0.113192,585.0,0.0,548.0,3830.0,4378.0
608,2012-08-30,3.0,1,8,4,1.0,1.0,28.2667,88.56255,0.0771167,592.0,0.0,1172.0,6541.0,7713.0
163,2011-06-12,2.0,0,6,0,0.0,1.0,27.7,112.18755,0.163567,495.0,0.0,1467.0,2993.0,4460.0
44,2011-02-13,1.0,0,2,0,0.0,1.0,12.6609,68.60865,0.260883,686.0,1.0,397.0,1192.0,1589.0
367,2012-01-02,1.0,1,1,1,0.0,1.0,10.9217,57.1956,0.329665,989.0,0.0,244.0,1707.0,1951.0
529,2012-06-12,2.0,1,6,2,1.0,2.0,26.1333,124.99995,0.214546,777.0,0.0,477.0,4495.0,4972.0
669,2012-10-30,4.0,1,10,2,1.0,2.0,12.7273,123.81825,0.213009,846.0,0.0,87.0,1009.0,1096.0
321,2011-11-17,4.0,0,11,4,1.0,2.0,13.6667,86.37495,0.3053619999999999,532.0,0.0,139.0,2914.0,3053.0
232,2011-08-20,3.0,0,8,6,0.0,1.0,27.9,101.12505,0.104467,675.0,0.0,1914.0,3277.0,5191.0
702,2012-12-02,4.0,1,12,0,0.0,2.0,13.9,123.49995,0.1243789999999999,702.0,0.0,892.0,3757.0,4649.0
303,2011-10-30,4.0,0,10,0,0.0,1.0,12.7667,93.5625,0.176617,787.0,0.0,885.0,2446.0,3331.0
514,2012-05-28,2.0,1,5,1,0.0,1.0,28.5,101.4375,0.196521,506.0,0.0,2557.0,3486.0,6043.0
501,2012-05-15,2.0,1,5,2,1.0,2.0,24.4667,119.18745,0.147392,779.0,0.0,625.0,4490.0,5115.0
401,2012-02-05,1.0,1,2,0,0.0,2.0,10.6333,103.18755,0.175996,769.0,0.0,318.0,2629.0,2947.0
341,2011-12-07,4.0,0,12,3,1.0,3.0,16.4,133.17871153846153,0.266175,586.0,1.0,50.0,655.0,705.0
277,2011-10-04,4.0,0,10,2,1.0,1.0,19.3667,106.5,0.205854,819.0,0.0,486.0,3970.0,4456.0
408,2012-02-12,1.0,1,2,0,0.0,1.0,5.1,69.68745,0.4092119999999999,644.0,0.0,73.0,1456.0,1529.0
682,2012-11-12,4.0,1,11,1,0.0,1.0,19.4,111.25005,0.173517,793.0,0.0,1097.0,5172.0,6269.0
206,2011-07-25,3.0,0,7,1,1.0,1.0,29.7333,113.56245,0.0908083,474.0,0.0,10568.0,3272.0,13840.0
190,2011-07-09,3.0,0,7,6,0.0,1.0,29.3333,91.37505,0.1679119999999999,755.0,0.0,11988.0,3348.0,15336.0
202,2011-07-21,3.0,0,7,4,1.0,2.0,32.6,103.6875,0.222021,788.0,0.0,10632.0,3152.0,13784.0
620,2012-09-11,3.0,1,9,2,1.0,1.0,23.1,78.0,0.0920541999999999,469.0,0.0,1070.0,6697.0,7767.0
100,2011-04-10,2.0,0,4,0,0.0,2.0,17.0667,128.625,0.146767,661.0,0.0,1188.0,1707.0,2895.0
312,2011-11-08,4.0,0,11,2,1.0,1.0,16.3333,108.25005,0.0690375,686.0,0.0,376.0,3829.0,4205.0
554,2012-07-07,3.0,1,7,6,0.0,1.0,34.4667,73.81245,0.163554,834.0,0.0,11448.0,3392.0,14840.0
208,2011-07-27,3.0,0,7,3,1.0,1.0,31.0,60.43755,0.183463,654.0,0.0,10755.0,3901.0,14656.0
661,2012-10-22,4.0,1,10,1,1.0,1.0,19.5,85.24995,0.0814833,599.0,0.0,830.0,6228.0,7058.0
162,2011-06-11,2.0,0,6,6,0.0,1.0,29.0,98.18745,0.15485,841.0,0.0,1729.0,3237.0,4966.0
316,2011-11-12,4.0,0,11,6,0.0,1.0,14.2667,82.93755,0.212062,598.0,0.0,1275.0,2792.0,4067.0
353,2011-12-19,4.0,0,12,1,1.0,1.0,11.0667,95.625,0.172896,703.0,0.0,260.0,3143.0,3403.0
726,2012-12-26,4.0,1,12,3,1.0,3.0,9.7333,123.49995,0.316546,701.0,0.0,9.0,432.0,441.0
654,2012-10-15,4.0,1,10,1,1.0,2.0,22.4667,109.3109709375,0.296037,598.0,0.0,760.0,5115.0,5875.0
599,2012-08-21,3.0,1,8,2,1.0,1.0,25.9667,101.0625,0.0727708,964.0,0.0,1081.0,5925.0,7006.0
680,2012-11-10,4.0,1,11,6,0.0,1.0,15.5667,96.81255,0.0578458,901.0,0.0,2090.0,4446.0,6536.0
447,2012-03-22,1.0,1,3,4,1.0,1.0,22.1667,124.6875,0.1175619999999999,750.0,0.0,1334.0,5537.0,6871.0
339,2011-12-05,4.0,0,12,1,1.0,2.0,15.4333,124.06245,0.0622083,628.0,0.0,233.0,3578.0,3811.0
512,2012-05-26,2.0,1,5,6,0.0,1.0,27.7,109.875,0.198992,869.0,0.0,2855.0,3681.0,6536.0
420,2012-02-24,1.0,1,2,5,1.0,2.0,16.3,110.625,0.237567,944.0,0.0,246.0,3241.0,3487.0
248,2011-09-05,3.0,0,9,1,0.0,2.0,26.9333,118.56255,0.212696,887.0,1.0,1236.0,2115.0,3351.0
1,2011-01-01,1.0,0,1,6,0.0,2.0,13.7667,120.87495,0.160446,755.0,0.0,331.0,654.0,985.0
648,2012-10-09,4.0,1,10,2,1.0,2.0,17.8667,114.25005,0.1903,611.0,0.0,601.0,5791.0,6392.0
313,2011-11-09,4.0,0,11,3,1.0,1.0,16.0,113.74995,0.0621958,864.0,0.0,305.0,3804.0,4109.0
88,2011-03-29,1.0,0,3,2,1.0,1.0,12.1,47.12505,0.226996,829.0,0.0,317.0,2108.0,2425.0
83,2011-03-24,1.0,0,3,4,1.0,2.0,11.4,120.87495,0.2437869999999999,861.0,0.0,166.0,1699.0,1865.0
305,2011-11-01,4.0,0,11,2,1.0,1.0,16.0333,102.5625,0.135571,675.0,0.0,410.0,3658.0,4068.0
465,2012-04-09,2.0,1,4,1,1.0,1.0,19.5667,47.625,0.358196,585.0,1.0,905.0,4680.0,5585.0
488,2012-05-02,2.0,1,5,3,1.0,1.0,22.5667,119.56245,0.138058,813.0,0.0,667.0,5502.0,6169.0
615,2012-09-06,3.0,1,9,4,1.0,2.0,27.8667,121.56255,0.142421,598.0,1.0,611.0,5592.0,6203.0
712,2012-12-12,4.0,1,12,3,1.0,2.0,11.9,80.74995,0.162937,802.0,1.0,310.0,5009.0,5319.0
541,2012-06-24,2.0,1,6,0,0.0,1.0,29.7333,71.87505,0.145525,731.0,0.0,2551.0,4340.0,6891.0
510,2012-05-24,2.0,1,5,4,1.0,1.0,26.2,107.50005,0.172896,706.0,0.0,1059.0,5711.0,6770.0
157,2011-06-06,2.0,0,6,1,1.0,1.0,27.1333,90.0,0.121896,912.0,0.0,673.0,3875.0,4548.0
373,2012-01-08,1.0,1,1,0,0.0,1.0,13.5,69.75,0.191542,969.0,0.0,599.0,2826.0,3425.0
161,2011-06-10,2.0,0,6,5,1.0,1.0,30.2,90.75,0.1405539999999999,840.0,0.0,815.0,3771.0,4586.0
314,2011-11-10,4.0,0,11,4,1.0,2.0,15.2,121.99995,0.189067,684.0,1.0,190.0,2743.0,2933.0
179,2011-06-28,2.0,0,6,2,1.0,1.0,29.7667,95.12505,0.144283,997.0,0.0,732.0,3916.0,4648.0
716,2012-12-16,4.0,1,12,0,0.0,2.0,14.5,125.8125,0.100742,491.0,0.0,538.0,3248.0,3786.0
398,2012-02-02,1.0,1,2,4,1.0,2.0,15.9667,109.3109709375,0.187187,547.0,0.0,190.0,3571.0,3761.0
229,2011-08-17,3.0,0,8,3,1.0,1.0,28.9333,86.31255,0.143667,905.0,0.0,668.0,4026.0,4694.0
439,2012-03-14,1.0,1,3,3,1.0,1.0,22.9,76.06245,0.1150619999999999,887.0,0.0,997.0,5315.0,6312.0
103,2011-04-13,2.0,0,4,3,1.0,2.0,16.5,122.87505,0.250617,694.0,1.0,209.0,1953.0,2162.0
545,2012-06-28,2.0,1,6,4,1.0,1.0,29.9667,63.375,0.17165,772.0,0.0,921.0,5958.0,6879.0
596,2012-08-18,3.0,1,8,6,0.0,1.0,27.1333,90.49995,0.177867,507.0,0.0,2827.0,5038.0,7865.0
315,2011-11-11,4.0,0,11,5,0.0,1.0,12.9667,66.9375,0.314675,617.0,0.0,440.0,2928.0,3368.0
694,2012-11-24,4.0,1,11,6,0.0,1.0,11.1333,84.1551970890411,0.376871,496.0,0.0,532.0,1745.0,2277.0
540,2012-06-23,2.0,1,6,6,0.0,1.0,29.2667,80.18745,0.179721,978.0,1.0,2657.0,4801.0,7458.0
490,2012-05-04,2.0,1,5,5,1.0,1.0,25.1,110.31255,0.162938,476.0,0.0,1069.0,5227.0,6296.0
588,2012-08-10,3.0,1,8,5,1.0,2.0,28.6333,107.37495,0.238813,733.0,0.0,1065.0,4721.0,5786.0
656,2012-10-17,4.0,1,10,3,1.0,1.0,18.2333,84.1551970890411,0.101371,492.0,1.0,979.0,6482.0,7461.0
92,2011-04-02,2.0,0,4,6,0.0,2.0,12.6,98.0625,0.197146,672.0,0.0,898.0,1354.0,2252.0
359,2011-12-25,4.0,0,12,0,0.0,1.0,10.9913,102.1956,0.155091,989.0,0.0,303.0,451.0,754.0
496,2012-05-10,2.0,1,5,4,1.0,1.0,20.2333,82.81245,0.314063,550.0,0.0,1026.0,5546.0,6572.0
362,2011-12-28,4.0,0,12,3,1.0,1.0,11.9652,75.58695,0.293961,840.0,0.0,255.0,2047.0,2302.0
421,2012-02-25,1.0,1,2,6,0.0,1.0,11.6333,59.37495,0.421642,669.0,0.0,317.0,2415.0,2732.0
296,2011-10-23,4.0,0,10,0,0.0,1.0,16.8667,111.1875,0.0995125,607.0,0.0,1619.0,2762.0,4381.0
639,2012-09-30,3.0,1,9,0,0.0,1.0,21.0667,87.49995,0.134958,952.0,0.0,2015.0,4874.0,6889.0
146,2011-05-26,2.0,0,5,4,1.0,1.0,28.3333,101.625,0.199642,720.0,0.0,758.0,3919.0,4677.0
197,2011-07-16,3.0,0,7,6,0.0,1.0,27.4667,87.75,0.19029483455284552,731.0,0.0,12418.0,3505.0,15923.0
619,2012-09-10,3.0,1,9,1,1.0,1.0,23.3333,75.5625,0.258713,748.0,0.0,1118.0,6407.0,7525.0
252,2011-09-09,3.0,0,9,5,1.0,2.0,26.0,134.68755,0.1243789999999999,1002.0,0.0,417.0,3127.0,3544.0
241,2011-08-29,3.0,0,8,1,1.0,1.0,25.4667,83.18745,0.159825,587.0,0.0,729.0,3905.0,4634.0
357,2011-12-23,4.0,0,12,5,1.0,1.0,14.9333,102.9375,0.274246,762.0,0.0,163.0,2046.0,2209.0
185,2011-07-04,3.0,0,7,1,0.0,2.0,29.0667,95.68755,0.0814791999999999,749.0,0.0,13065.0,2978.0,16043.0
361,2011-12-27,4.0,0,12,2,1.0,2.0,13.0,114.375,0.18845,517.0,0.0,103.0,1059.0,1162.0
471,2012-04-15,2.0,1,4,0,0.0,1.0,24.2667,76.18755,0.225129,554.0,0.0,2846.0,4286.0,7132.0
65,2011-03-06,1.0,0,3,0,0.0,2.0,15.0609,142.23915,0.343287,667.0,0.0,114.0,491.0,605.0
698,2012-11-28,4.0,1,11,3,1.0,1.0,11.8667,75.9375,0.210821,935.0,1.0,198.0,5062.0,5260.0
189,2011-07-08,3.0,0,7,5,1.0,2.0,28.3667,113.68755,0.225129,1015.0,0.0,10692.0,3348.0,14040.0
641,2012-10-02,4.0,1,10,2,1.0,3.0,23.6333,130.75005,0.104475,499.0,0.0,315.0,4324.0,4639.0
255,2011-09-12,3.0,0,9,1,1.0,1.0,25.7739,103.8261,0.088913,532.0,0.0,690.0,4023.0,4713.0
473,2012-04-17,2.0,1,4,2,1.0,1.0,24.3333,58.56255,0.273629,633.0,0.0,989.0,5702.0,6691.0
509,2012-05-23,2.0,1,5,3,1.0,2.0,24.8667,116.18745,0.102,873.0,0.0,766.0,4494.0,5260.0
67,2011-03-08,1.0,0,3,2,1.0,1.0,11.7,63.12495,0.12065,924.0,0.0,316.0,1817.0,2133.0
240,2011-08-28,3.0,0,8,0,0.0,1.0,28.2824,84.26475,0.304659,615.0,0.0,1415.0,2919.0,4334.0
71,2011-03-12,1.0,0,3,6,0.0,1.0,13.1667,89.18745,0.220775,580.0,0.0,724.0,1408.0,2132.0
485,2012-04-29,2.0,1,4,0,0.0,1.0,18.3333,88.06245,0.116908,869.0,0.0,2229.0,4075.0,6304.0
652,2012-10-13,4.0,1,10,6,0.0,1.0,15.7333,74.18745,0.146142,632.0,0.0,2252.0,4857.0,7109.0
721,2012-12-21,4.0,1,12,5,1.0,2.0,13.0667,83.50005,0.3743829999999999,881.0,0.0,221.0,3402.0,3623.0
242,2011-08-30,3.0,0,8,2,1.0,1.0,25.5667,82.24995,0.1250079999999999,576.0,1.0,775.0,4429.0,5204.0
234,2011-08-22,3.0,0,8,1,1.0,1.0,27.6667,70.5,0.27675,990.0,0.0,833.0,3925.0,4758.0
66,2011-03-07,1.0,0,3,1,1.0,1.0,10.4696,82.6956,0.341352,981.0,1.0,244.0,1628.0,1872.0
725,2012-12-25,4.0,1,12,2,0.0,2.0,11.6522,109.3109709375,0.168726,699.0,0.0,440.0,573.0,1013.0
102,2011-04-12,2.0,0,4,2,1.0,2.0,20.1,110.87505,0.274879,813.0,0.0,257.0,1777.0,2034.0
13,2011-01-13,1.0,0,1,4,1.0,1.0,6.6,70.56255,0.301,572.0,1.0,38.0,1368.0,1406.0
399,2012-02-03,1.0,1,2,5,1.0,1.0,12.5333,79.00005,0.178496,860.0,0.0,310.0,3841.0,4151.0
342,2011-12-08,4.0,0,12,4,1.0,1.0,10.6333,87.0,0.240058,573.0,0.0,150.0,3172.0,3322.0
713,2012-12-13,4.0,1,12,4,1.0,1.0,11.8333,72.87495,0.174129,676.0,0.0,425.0,5107.0,5532.0
253,2011-09-10,3.0,0,9,6,0.0,1.0,26.4,113.0625,0.153608,560.0,0.0,1750.0,3595.0,5345.0
184,2011-07-03,3.0,0,7,0,0.0,2.0,28.6667,102.375,0.228858,722.0,0.0,12282.0,2367.0,14649.0
214,2011-08-02,3.0,0,8,2,1.0,1.0,31.3333,73.6875,0.20585,617.0,0.0,801.0,4044.0,4845.0
272,2011-09-29,3.0,0,9,4,1.0,1.0,24.6667,104.87505,0.1728829999999999,920.0,0.0,653.0,4186.0,4839.0
582,2012-08-04,3.0,1,8,6,0.0,1.0,31.7333,91.99995,0.257458,606.0,0.0,2345.0,4479.0,6824.0
267,2011-09-24,3.0,0,9,6,0.0,2.0,24.2667,129.375,0.0783833,968.0,0.0,1776.0,3647.0,5423.0
433,2012-03-08,1.0,1,3,4,1.0,1.0,21.1,85.125,0.441563,870.0,0.0,486.0,4896.0,5382.0
358,2011-12-24,4.0,0,12,6,0.0,1.0,12.1,81.375,0.190304,803.0,0.0,155.0,856.0,1011.0
97,2011-04-07,2.0,0,4,4,1.0,1.0,17.5,90.43755,0.1623119999999999,929.0,0.0,571.0,2570.0,3141.0
363,2011-12-29,4.0,0,12,4,1.0,1.0,9.9333,86.12505,0.1194119999999999,728.0,0.0,254.0,2169.0,2423.0
31,2011-01-31,1.0,0,1,1,1.0,2.0,7.2333,90.5625,0.187192,901.0,0.0,42.0,1459.0,1501.0
117,2011-04-27,2.0,0,4,3,1.0,2.0,24.8,125.31255,0.3122,849.0,1.0,547.0,3325.0,3872.0
332,2011-11-28,4.0,0,11,1,1.0,1.0,20.1391,111.45645,0.142122,637.0,0.0,253.0,3614.0,3867.0
424,2012-02-28,1.0,1,2,2,1.0,1.0,14.3667,59.37495,0.193417,595.0,0.0,229.0,4134.0,4363.0
489,2012-05-03,2.0,1,5,4,1.0,2.0,22.4,115.24995,0.133696,908.0,1.0,764.0,5657.0,6421.0
428,2012-03-03,1.0,1,3,6,0.0,2.0,16.5667,93.1875,0.161079,642.0,0.0,956.0,3110.0,4066.0
406,2012-02-10,1.0,1,2,5,1.0,2.0,11.2333,81.0,0.1169289999999999,764.0,0.0,227.0,3604.0,3831.0
193,2011-07-12,3.0,0,7,2,1.0,1.0,31.7667,83.87505,0.200254,670.0,0.0,10662.0,3596.0,14258.0
415,2012-02-19,1.0,1,2,0,0.0,2.0,11.2,77.37495,0.253112,838.0,0.0,618.0,2071.0,2689.0
508,2012-05-22,2.0,1,5,2,1.0,2.0,24.6,114.87495,0.118167,576.0,0.0,819.0,5254.0,6073.0
385,2012-01-20,1.0,1,1,5,1.0,2.0,8.7,67.5,0.20275,584.0,0.0,115.0,3048.0,3163.0
498,2012-05-12,2.0,1,5,6,0.0,1.0,22.5667,72.06255,0.1231329999999999,813.0,0.0,2622.0,4807.0,7429.0
372,2012-01-07,1.0,1,1,6,0.0,1.0,15.7333,79.75005,0.174758,827.0,0.0,1070.0,3451.0,4521.0
503,2012-05-17,2.0,1,5,4,1.0,1.0,23.7333,78.0,0.229475,882.0,0.0,1242.0,6142.0,7384.0
477,2012-04-21,2.0,1,4,6,0.0,1.0,22.8,102.43755,0.283587,524.0,0.0,2541.0,4083.0,6624.0
20,2011-01-20,1.0,0,1,4,1.0,2.0,10.4667,109.3109709375,0.195904,992.0,0.0,83.0,1844.0,1927.0
440,2012-03-15,1.0,1,3,4,1.0,1.0,22.3,86.93745,0.149883,624.0,0.0,1005.0,5187.0,6192.0
55,2011-02-24,1.0,0,2,4,1.0,2.0,11.8261,104.60865,0.250496,759.0,0.0,100.0,1707.0,1807.0
587,2012-08-09,3.0,1,8,4,1.0,1.0,30.2333,93.06255,0.1561,1006.0,1.0,1196.0,6090.0,7286.0
70,2011-03-11,1.0,0,3,5,1.0,2.0,12.6609,97.43475,0.2329699999999999,487.0,1.0,247.0,1730.0,1977.0
550,2012-07-03,3.0,1,7,2,1.0,1.0,31.2333,73.81245,0.126237,790.0,0.0,11052.0,5608.0,16660.0
243,2011-08-31,3.0,0,8,3,1.0,1.0,26.2667,89.68755,0.0833333,628.0,0.0,688.0,4370.0,5058.0
469,2012-04-13,2.0,1,4,5,1.0,1.0,17.7,61.24995,0.155471,965.0,0.0,1252.0,5146.0,6398.0
59,2011-02-28,1.0,0,2,1,1.0,2.0,16.2909,109.3109709375,0.289686,471.0,1.0,81.0,1365.0,1446.0
151,2011-05-31,2.0,0,5,2,1.0,1.0,31.0,95.50005,0.111329,843.0,0.0,673.0,3309.0,3982.0
32,2011-02-01,1.0,0,2,2,1.0,2.0,7.687,124.43475,0.0532129999999999,914.0,0.0,47.0,1313.0,1360.0
169,2011-06-18,2.0,0,6,6,0.0,1.0,27.8667,100.56255,0.1194079999999999,617.0,0.0,1807.0,3312.0,5119.0
517,2012-05-31,2.0,1,5,4,1.0,1.0,27.2,73.93755,0.195279,986.0,0.0,1100.0,6238.0,7338.0
696,2012-11-26,4.0,1,11,1,1.0,1.0,12.5333,80.31255,0.04665,1025.0,0.0,337.0,4750.0,5087.0
690,2012-11-20,4.0,1,11,2,1.0,2.0,14.9667,102.75,0.082725,796.0,0.0,534.0,5100.0,5634.0
455,2012-03-30,1.0,1,3,5,1.0,2.0,14.8,87.12495,0.138067,1016.0,0.0,796.0,4663.0,5459.0
506,2012-05-20,2.0,1,5,0,0.0,1.0,24.8333,79.56255,0.254367,783.0,0.0,2704.0,4425.0,7129.0
91,2011-04-01,2.0,0,4,5,1.0,2.0,12.0,102.9375,0.258708,699.0,1.0,307.0,1920.0,2227.0
260,2011-09-17,3.0,0,9,6,0.0,2.0,19.6667,107.74995,0.189675,939.0,1.0,1434.0,3077.0,4511.0
317,2011-11-13,4.0,0,11,0,0.0,1.0,17.6333,68.74995,0.281721,829.0,0.0,1004.0,2713.0,3717.0
145,2011-05-25,2.0,0,5,3,1.0,1.0,26.4333,104.4375,0.1542329999999999,702.0,0.0,740.0,4238.0,4978.0
695,2012-11-25,4.0,1,11,0,0.0,1.0,9.8333,70.24995,0.1505,728.0,0.0,309.0,2115.0,2424.0
595,2012-08-17,3.0,1,8,5,1.0,1.0,28.9333,85.62495,0.231354,887.0,0.0,1483.0,5665.0,7148.0
519,2012-06-02,2.0,1,6,6,0.0,1.0,23.3333,82.37505,0.1865619999999999,743.0,0.0,2795.0,5325.0,8120.0
427,2012-03-02,1.0,1,3,5,1.0,2.0,14.1333,98.56245,0.144904,867.0,0.0,246.0,2948.0,3194.0
515,2012-05-29,2.0,1,5,2,1.0,1.0,28.9,102.68745,0.2954,598.0,1.0,880.0,4863.0,5743.0
670,2012-10-31,4.0,1,10,3,1.0,2.0,14.3,100.00005,0.166667,747.0,0.0,419.0,5147.0,5566.0
284,2011-10-11,4.0,0,10,2,1.0,2.0,22.6667,121.3125,0.143042,800.0,0.0,667.0,3896.0,4563.0
3,2011-01-03,1.0,0,1,1,1.0,1.0,7.8546,65.59095,0.248309,829.0,0.0,120.0,1229.0,1349.0
49,2011-02-18,1.0,0,2,5,1.0,1.0,20.8667,77.50005,0.264925,681.0,0.0,579.0,2348.0,2927.0
673,2012-11-03,4.0,1,11,6,0.0,2.0,13.7333,73.6875,0.270529,827.0,0.0,1029.0,4109.0,5138.0
